Date,Price,Open,High,Low,Vol.
2020-01-02,52.25,51.45,52.25,51.25,39031131.5
2020-01-03,52.35,52.25,53.2,51.65,63402692.0
2020-01-06,52.8,51.7,52.8,51.55,46381647.5
2020-01-07,52.5,52.0,52.85,51.65,27769479.5
2020-01-08,51.85,52.4,52.4,50.55,34874381.0
2020-01-09,51.8,51.85,51.9,51.05,52396697.0
2020-01-10,52.0,51.8,52.0,51.55,29554767.0
2020-01-14,52.0,52.0,52.5,51.6,99950304.0
2020-01-15,52.4,51.7,52.4,51.7,42035770.5
2020-01-16,53.0,52.0,53.0,51.75,50929395.0
2020-01-17,54.0,52.5,54.0,52.5,43906192.5
2020-01-20,52.75,54.0,54.0,52.25,25602641.5
2020-01-21,51.15,52.75,53.5,51.15,23070625.0
2020-01-22,52.0,51.2,52.05,50.9,50026679.5
2020-01-23,53.0,52.0,53.0,51.05,33842129.5
2020-01-24,52.95,53.0,53.0,51.3,40758291.5
2020-01-27,52.8,52.5,53.25,52.25,31367197.0
2020-01-28,50.9,52.8,52.8,50.9,24455212.5
2020-01-29,51.5,51.0,51.8,50.25,21797089.5
2020-01-30,50.9,51.45,51.5,50.55,22321878.5
2020-01-31,49.3,51.5,51.5,49.3,119092058.0
2020-02-03,49.8,49.3,51.45,48.05,42878120.0
2020-02-04,49.85,49.8,51.0,49.8,52493665.0
2020-02-05,51.0,50.05,51.25,50.05,34372485.0
2020-02-06,52.4,51.25,52.4,51.15,21867038.0
2020-02-07,52.15,50.3,52.4,50.3,29584877.5
2020-02-10,52.0,51.15,52.3,50.8,55558992.0
2020-02-11,52.05,52.0,52.25,51.5,12880049.0
2020-02-12,50.85,52.05,52.05,50.85,18066019.5
2020-02-13,49.8,50.85,50.85,49.35,50481444.5
2020-02-14,49.4,49.8,50.95,49.4,65930550.0
2020-02-17,50.45,49.55,51.0,49.55,77186075.0
2020-02-18,50.4,51.0,51.0,50.35,46053612.5
2020-02-19,51.0,50.4,51.95,50.4,45538208.0
2020-02-20,51.0,50.7,52.3,50.7,132977463.5
2020-02-21,50.5,51.9,51.9,50.5,60973482.0
2020-02-24,49.55,50.4,50.4,49.5,22760675.0
2020-02-26,45.4,49.0,49.15,45.4,99374450.0
2020-02-27,44.5,46.7,46.9,44.5,63354165.0
2020-02-28,42.65,44.35,44.35,42.05,98343645.0
2020-03-02,43.05,42.45,43.45,41.0,72040280.0
2020-03-03,43.7,43.35,45.5,43.35,49981925.0
2020-03-04,46.0,43.7,46.0,43.6,43659525.0
2020-03-05,45.95,45.95,46.05,44.9,12728170.0
2020-03-06,44.95,45.75,45.75,44.55,23069855.0
2020-03-09,41.85,43.0,44.1,41.35,43050875.0
2020-03-10,40.45,41.3,41.3,39.1,52423320.0
2020-03-11,39.35,40.55,41.45,39.15,37965545.0
2020-03-12,37.7,39.9,39.9,37.5,84456235.0
2020-03-13,38.0,35.45,38.5,33.1,124520355.0
2020-03-16,35.25,35.0,37.7,35.0,94603105.0
2020-03-19,32.0,31.5,35.2,26.7,111375360.0
2020-03-20,30.95,32.15,33.95,30.5,59572405.0
2020-03-23,30.0,30.05,30.8,28.2,36309750.0
2020-03-24,29.5,31.0,31.4,29.5,42691165.0
2020-03-25,29.1,31.9,32.0,29.1,42920220.0
2020-03-26,30.85,30.45,33.45,29.7,53874070.0
2020-03-27,32.5,32.5,34.2,31.25,44855015.0
2020-03-30,35.2,33.2,35.2,30.65,21671065.0
2020-03-31,37.7,35.0,37.7,34.25,79222600.0
2020-04-01,38.75,37.7,38.75,35.5,53896535.0
2020-04-02,39.1,38.4,39.1,37.4,12616105.0
2020-04-03,39.9,39.1,39.9,38.0,31268375.0
2020-04-06,45.0,39.95,45.0,39.95,48387460.0
2020-04-07,44.6,45.1,46.0,43.55,101730770.0
2020-04-08,41.95,44.0,44.0,41.2,129646535.0
