date,open,high,low,close,value_php,usd_open,usd_high,usd_low,usd_close
2020-01-02,302.8,316.0,301.0,316.0,35386490.0,5.9724,6.2327,5.9369,6.2327
2020-01-03,312.8,318.8,310.4,312.4,45925674.0,6.1814,6.2999,6.134,6.1735
2020-01-06,313.0,314.8,310.8,311.0,29395682.0,6.1292,6.1645,6.0861,6.09
2020-01-07,314.8,314.8,305.0,309.0,39151972.0,6.1526,6.1526,5.9611,6.0393
2020-01-08,309.0,309.0,300.4,301.8,52816442.0,6.0606,6.0606,5.8919,5.9194
2020-01-09,302.0,306.6,300.4,301.0,50937370.0,5.9869,6.0781,5.9552,5.9671
2020-01-10,303.6,308.0,301.0,308.0,52674228.0,5.9941,6.0809,5.9427,6.0809
2020-01-14,302.0,307.8,302.0,304.8,64003964.0,5.9826,6.0975,5.9826,6.038
2020-01-15,304.8,306.0,287.0,292.4,75078194.0,6.0297,6.0534,5.6775,5.7844
2020-01-16,295.0,299.8,290.0,295.0,52813922.0,5.811,5.9055,5.7125,5.811
2020-01-17,295.0,298.0,291.0,291.0,57163154.0,5.8025,5.8615,5.7238,5.7238
2020-01-20,295.0,295.0,280.4,281.0,101994336.0,5.8048,5.8048,5.5175,5.5293
2020-01-21,281.0,284.8,279.2,279.2,40468374.0,5.5228,5.5975,5.4874,5.4874
2020-01-22,276.4,290.0,276.0,290.0,65686428.0,5.4196,5.6863,5.4118,5.6863
2020-01-23,290.0,302.0,285.2,302.0,91483156.0,5.6879,5.9233,5.5938,5.9233
2020-01-24,299.8,302.4,290.0,302.4,35046060.0,5.8813,5.9323,5.6891,5.9323
2020-01-27,302.2,302.2,291.0,294.0,73954632.0,5.957,5.957,5.7363,5.7954
2020-01-28,293.0,298.0,282.0,282.0,47591650.0,5.7623,5.8606,5.5459,5.5459
2020-01-29,296.0,296.0,275.0,275.0,81028230.0,5.8368,5.8368,5.4227,5.4227
2020-01-30,280.0,285.0,276.0,277.4,51216934.0,5.5086,5.6069,5.4299,5.4574
2020-01-31,277.4,280.0,256.0,256.0,160636492.0,5.4565,5.5076,5.0355,5.0355
2020-02-03,264.0,264.0,256.0,259.0,73062030.0,5.2006,5.2006,5.043,5.1021
2020-02-04,260.0,274.0,259.8,266.8,43535850.0,5.1121,5.3873,5.1081,5.2458
2020-02-05,268.2,274.8,268.2,274.8,29933154.0,5.2847,5.4148,5.2847,5.4148
2020-02-06,275.0,291.0,275.0,291.0,75428152.0,5.4182,5.7334,5.4182,5.7334
2020-02-07,286.0,288.8,282.8,288.8,30513644.0,5.6444,5.6996,5.5812,5.6996
2020-02-10,288.8,288.8,279.0,279.0,47764420.0,5.6794,5.6794,5.4867,5.4867
2020-02-11,279.0,282.0,277.0,277.0,22036166.0,5.4921,5.5512,5.4528,5.4528
2020-02-12,276.8,277.4,263.8,263.8,72805102.0,5.4787,5.4906,5.2214,5.2214
2020-02-13,264.2,268.0,262.0,263.2,83427972.0,5.2162,5.2912,5.1728,5.1964
2020-02-14,263.2,270.4,262.0,262.0,76746282.0,5.2282,5.3713,5.2044,5.2044
2020-02-17,266.8,268.0,264.0,266.0,7867240.0,5.2919,5.3157,5.2363,5.276
